ticket_id,customer_id,match_id,ticket_type,purchase_date,quantity,unit_price,total_revenue,section,discount_code,sales_channel
T0000075,C001515,M001,Season Ticket,2025-01-14,1,31.32,31.32,East Sideline,MEMBER,Online
T0000076,C001709,M001,Season Ticket,2024-11-28,2,24.28,48.56,Supporters' End,MEMBER,Mobile App
T0000077,C002029,M001,Group,2025-01-06,10,23.38,233.8,East Sideline,GROUP15,Online
T0000078,C001956,M001,Premium,2025-01-21,2,194.95,389.9,Fieldside,,Box Office
T0000079,C002033,M001,Group,2025-02-06,12,18.45,221.4,North End,GROUP15,Online
T0000080,C001393,M001,Single Match,2025-02-08,1,43.97,43.97,East Sideline,,Online
T0000081,C000633,M001,Season Ticket,2024-12-29,1,23.48,23.48,Supporters' End,MEMBER,Mobile App
T0000082,C000818,M001,Single Match,2025-01-17,1,29.53,29.53,Supporters' End,FAMILY,Mobile App
T0000083,C001111,M001,Season Ticket,2024-11-27,2,32.03,64.06,East Sideline,MEMBER,Sales Representative
T0000084,C001584,M001,Single Match,2025-01-09,4,45.93,183.72,West Sideline,,Box Office
T0000085,C002673,M001,Single Match,2025-01-16,2,49.0,98.0,West Sideline,,Online
T0000086,C002801,M001,Season Ticket,2024-12-14,4,30.9,123.6,East Sideline,MEMBER,Mobile App
T0000087,C001327,M001,Season Ticket,2025-01-22,1,23.92,23.92,Supporters' End,MEMBER,Online
T0000088,C002316,M001,Single Match,2025-01-09,2,42.29,84.58,West Sideline,FAMILY,Online
T0000089,C002435,M001,Season Ticket,2024-12-25,1,29.59,29.59,East Sideline,MEMBER,Mobile App
T0000090,C003057,M001,Season Ticket,2025-01-08,2,45.02,90.04,Club Level,MEMBER,Online
T0000091,C001416,M001,Season Ticket,2024-08-28,4,27.72,110.88,East Sideline,MEMBER,Online
T0000092,C001072,M001,Season Ticket,2025-01-03,3,34.23,102.69,West Sideline,MEMBER,Online
T0000093,C001903,M001,Season Ticket,2025-02-08,1,31.84,31.84,West Sideline,MEMBER,Online
T0000094,C000660,M001,Single Match,2025-03-04,1,30.47,30.47,Supporters' End,,Box Office
T0000095,C001049,M001,Single Match,2025-01-04,2,45.21,90.42,West Sideline,,Online
T0000096,C001050,M001,Group,2024-12-29,12,18.52,222.24,Family Zone,GROUP15,Box Office
T0000097,C001823,M001,Single Match,2025-02-24,2,47.16,94.32,West Sideline,,Online
T0000098,C002263,M001,Season Ticket,2024-09-25,1,32.04,32.04,East Sideline,MEMBER,Sales Representative
T0000099,C002576,M001,Premium,2025-01-12,1,239.52,239.52,Summit Suites,,Online
T0000100,C000882,M001,Season Ticket,2024-10-25,1,33.18,33.18,West Sideline,MEMBER,Online
T0000101,C001958,M001,Premium,2025-01-25,3,169.04,507.12,Club Level,,Online
T0000102,C001874,M001,Season Ticket,2025-02-23,2,22.53,45.06,Supporters' End,MEMBER,Online
T0000103,C000045,M001,Season Ticket,2025-02-08,3,31.87,95.61,West Sideline,MEMBER,Online
T0000104,C001884,M001,Premium,2025-02-18,4,235.3,941.2,Summit Suites,,Online
T0000105,C001527,M001,Single Match,2025-02-26,2,45.88,91.76,West Sideline,,Sales Representative
T0000106,C000855,M001,Single Match,2025-01-02,2,42.52,85.04,East Sideline,,Online
T0000107,C001984,M001,Single Match,2025-01-25,2,33.55,67.1,Supporters' End,,Box Office
T0000108,C000048,M001,Season Ticket,2025-01-18,2,44.77,89.54,Club Level,MEMBER,Online
T0000109,C002204,M001,Season Ticket,2024-08-15,3,30.94,92.82,West Sideline,MEMBER,Online
T0000110,C001270,M001,Season Ticket,2024-12-02,3,31.28,93.84,East Sideline,MEMBER,Sales Representative
T0000111,C002123,M001,Season Ticket,2024-10-31,2,35.48,70.96,West Sideline,MEMBER,Mobile App
T0000112,C000665,M001,Season Ticket,2024-09-23,1,30.51,30.51,East Sideline,MEMBER,Online
T0000113,C002628,M001,Season Ticket,2024-11-09,2,33.16,66.32,West Sideline,MEMBER,Online
T0000114,C001258,M001,Season Ticket,2024-10-05,2,31.97,63.94,East Sideline,MEMBER,Online
T0000115,C001228,M001,Season Ticket,2024-11-29,2,23.5,47.0,Supporters' End,MEMBER,Online
T0000116,C000721,M001,Single Match,2025-02-16,2,41.96,83.92,East Sideline,,Sales Representative
T0000117,C001972,M001,Season Ticket,2025-02-18,2,31.02,62.04,East Sideline,MEMBER,Online
T0000118,C001119,M001,Season Ticket,2025-01-20,1,29.75,29.75,East Sideline,MEMBER,Online
T0000119,C002917,M001,Single Match,2025-01-10,3,43.22,129.66,East Sideline,,Mobile App
T0000120,C000959,M001,Single Match,2025-01-29,3,42.86,128.58,East Sideline,,Online
T0000121,C001703,M001,Single Match,2025-01-11,2,41.24,82.48,West Sideline,WELCOME,Online
T0000122,C002330,M001,Season Ticket,2024-10-10,3,29.9,89.7,East Sideline,MEMBER,Online
T0000123,C002321,M001,Season Ticket,2025-01-19,2,30.08,60.16,East Sideline,MEMBER,Online
T0000124,C001129,M001,Premium,2025-03-05,2,193.18,386.36,Fieldside,,Online
T0000125,C000130,M001,Season Ticket,2024-08-30,1,30.02,30.02,East Sideline,MEMBER,Online
T0000126,C001080,M001,Season Ticket,2024-08-22,1,23.54,23.54,Supporters' End,MEMBER,Online
T0000127,C002162,M001,Single Match,2025-01-26,2,35.27,70.54,Family Zone,,Box Office
T0000128,C000847,M001,Group,2025-01-11,30,19.11,573.3,North End,GROUP15,Online
T0000129,C000290,M001,Season Ticket,2024-12-11,1,31.02,31.02,East Sideline,MEMBER,Box Office
T0000130,C002647,M001,Season Ticket,2024-08-16,2,31.78,63.56,West Sideline,MEMBER,Mobile App
T0000131,C000787,M001,Season Ticket,2024-10-24,1,22.92,22.92,Supporters' End,MEMBER,Online
T0000132,C003138,M001,Season Ticket,2025-02-26,2,32.18,64.36,East Sideline,MEMBER,Mobile App
T0000133,C001508,M001,Season Ticket,2024-10-29,1,32.49,32.49,West Sideline,MEMBER,Online
T0000134,C001657,M001,Season Ticket,2024-09-21,2,33.21,66.42,West Sideline,MEMBER,Mobile App
T0000135,C001002,M001,Single Match,2025-03-05,1,42.3,42.3,West Sideline,FAMILY,Box Office
T0000136,C002656,M001,Single Match,2025-01-09,1,31.21,31.21,Supporters' End,,Online
T0000137,C003036,M001,Single Match,2025-01-22,4,33.91,135.64,Supporters' End,,Mobile App
T0000138,C001006,M001,Season Ticket,2024-11-09,1,30.74,30.74,East Sideline,MEMBER,Online
T0000139,C000481,M001,Single Match,2025-01-05,2,49.13,98.26,West Sideline,,Online
T0000140,C001376,M001,Season Ticket,2024-08-21,2,42.39,84.78,Club Level,MEMBER,Online
T0000141,C002947,M001,Single Match,2025-01-02,2,46.94,93.88,West Sideline,,Mobile App
T0000142,C002390,M001,Group,2025-03-05,10,24.05,240.5,East Sideline,GROUP15,Online
T0000143,C001559,M001,Season Ticket,2024-10-31,3,30.78,92.34,East Sideline,MEMBER,Box Office
T0000144,C002896,M001,Single Match,2025-02-17,2,46.41,92.82,West Sideline,,Online
T0000145,C001574,M001,Season Ticket,2025-02-21,1,31.67,31.67,East Sideline,MEMBER,Box Office
T0000146,C001896,M001,Single Match,2025-02-12,1,40.68,40.68,East Sideline,FAMILY,Online
T0000147,C000478,M001,Premium,2025-02-12,6,186.22,1117.32,Fieldside,,Sales Representative
T0000148,C001981,M001,Season Ticket,2025-02-18,1,30.73,30.73,East Sideline,MEMBER,Mobile App
T0000149,C002131,M001,Season Ticket,2025-02-14,2,33.28,66.56,West Sideline,MEMBER,Mobile App
T0000150,C002270,M001,Season Ticket,2024-10-15,3,32.27,96.81,East Sideline,MEMBER,Box Office
T0000151,C002254,M001,Single Match,2025-02-21,2,31.94,63.88,Supporters' End,,Online
T0000152,C002351,M001,Season Ticket,2024-12-04,1,31.01,31.01,East Sideline,MEMBER,Online
T0000153,C001860,M001,Season Ticket,2024-12-30,2,30.66,61.32,East Sideline,MEMBER,Mobile App
T0000154,C001838,M001,Season Ticket,2024-12-08,3,22.85,68.55,Supporters' End,MEMBER,Mobile App
T0000155,C003195,M001,Group,2025-01-09,20,23.82,476.4,East Sideline,GROUP15,Online
T0000156,C001371,M001,Single Match,2025-01-29,2,41.29,82.58,West Sideline,WELCOME,Mobile App
T0000157,C000316,M001,Single Match,2025-02-25,2,46.11,92.22,West Sideline,,Online
T0000158,C000439,M001,Season Ticket,2025-01-14,2,32.45,64.9,West Sideline,MEMBER,Online
T0000159,C000451,M001,Single Match,2025-01-15,2,44.34,88.68,East Sideline,,Online
T0000160,C001872,M001,Season Ticket,2025-02-04,2,32.66,65.32,West Sideline,MEMBER,Online
T0000161,C002637,M001,Premium,2025-02-15,2,161.92,323.84,Club Level,,Mobile App
T0000162,C003159,M001,Season Ticket,2024-08-23,2,22.45,44.9,Supporters' End,MEMBER,Online
T0000163,C000078,M001,Single Match,2025-02-28,1,34.8,34.8,Family Zone,,Mobile App
T0000164,C001695,M001,Single Match,2025-01-04,3,34.6,103.8,Family Zone,,Sales Representative
T0000165,C002603,M001,Season Ticket,2024-09-02,1,29.87,29.87,East Sideline,MEMBER,Online
T0000166,C001839,M001,Season Ticket,2025-01-30,2,41.66,83.32,Club Level,MEMBER,Mobile App
T0000167,C001547,M001,Single Match,2025-02-25,1,45.67,45.67,West Sideline,,Online
T0000168,C001011,M001,Season Ticket,2024-12-22,2,32.91,65.82,West Sideline,MEMBER,Mobile App
T0000169,C002248,M001,Single Match,2024-12-27,2,42.18,84.36,East Sideline,,Mobile App
T0000170,C002796,M001,Season Ticket,2024-09-17,2,22.12,44.24,Supporters' End,MEMBER,Online
T0000171,C001378,M001,Single Match,2025-02-02,1,33.55,33.55,Family Zone,,Mobile App
T0000172,C002276,M001,Season Ticket,2024-09-14,1,32.29,32.29,West Sideline,MEMBER,Mobile App
T0000173,C000477,M001,Season Ticket,2024-09-23,1,31.06,31.06,East Sideline,MEMBER,Online
T0000174,C000187,M001,Single Match,2025-02-01,1,39.93,39.93,East Sideline,WELCOME,Box Office
T0000175,C002147,M001,Season Ticket,2025-02-04,3,34.6,103.8,West Sideline,MEMBER,Online
T0000176,C001093,M001,Single Match,2025-02-13,2,29.92,59.84,Supporters' End,,Box Office
T0000177,C000544,M001,Group,2025-02-18,8,18.09,144.72,North End,GROUP15,Mobile App
T0000178,C001895,M001,Season Ticket,2024-08-23,1,32.19,32.19,West Sideline,MEMBER,Online
T0000179,C000038,M001,Season Ticket,2025-02-16,1,31.94,31.94,East Sideline,MEMBER,Online
T0000180,C002803,M001,Single Match,2025-01-07,4,45.37,181.48,East Sideline,,Sales Representative
T0000181,C001013,M001,Season Ticket,2025-02-26,2,32.97,65.94,West Sideline,MEMBER,Online
T0000182,C001885,M001,Season Ticket,2024-12-07,2,23.2,46.4,Supporters' End,MEMBER,Mobile App
T0000183,C001668,M001,Season Ticket,2024-12-09,1,32.77,32.77,East Sideline,MEMBER,Box Office
T0000184,C001540,M001,Season Ticket,2024-09-25,1,33.66,33.66,West Sideline,MEMBER,Online
T0000185,C001999,M001,Single Match,2025-01-06,4,34.99,139.96,Supporters' End,,Mobile App
T0000186,C000902,M001,Group,2025-01-16,30,18.43,552.9,North End,GROUP15,Online
T0000187,C002262,M001,Single Match,2025-02-09,4,31.89,127.56,Supporters' End,,Online
T0000188,C000710,M001,Season Ticket,2024-10-18,3,23.71,71.13,Supporters' End,MEMBER,Online
T0000189,C002512,M001,Single Match,2024-12-27,2,43.79,87.58,East Sideline,,Online
T0000190,C003141,M001,Single Match,2025-02-11,3,32.93,98.79,Family Zone,,Box Office
T0000191,C001313,M001,Season Ticket,2024-11-29,1,31.23,31.23,East Sideline,MEMBER,Mobile App
T0000192,C000169,M001,Single Match,2025-03-03,3,42.48,127.44,East Sideline,,Online
T0000193,C001379,M001,Season Ticket,2024-11-19,1,21.89,21.89,Supporters' End,MEMBER,Mobile App
T0000194,C000553,M001,Season Ticket,2024-09-29,2,32.45,64.9,West Sideline,MEMBER,Online
T0000195,C001929,M001,Group,2025-01-27,16,18.12,289.92,North End,GROUP15,Mobile App
T0000196,C002150,M001,Premium,2024-12-23,1,222.78,222.78,Summit Suites,,Online
T0000197,C000585,M001,Season Ticket,2025-02-26,2,31.6,63.2,East Sideline,MEMBER,Sales Representative
T0000198,C002578,M001,Season Ticket,2024-11-22,2,30.84,61.68,East Sideline,MEMBER,Online
T0000199,C002006,M001,Season Ticket,2024-09-25,2,22.67,45.34,Supporters' End,MEMBER,Mobile App
T0000200,C001990,M001,Season Ticket,2024-10-08,2,31.92,63.84,East Sideline,MEMBER,Online
T0000201,C001566,M001,Season Ticket,2024-11-30,2,23.14,46.28,Supporters' End,MEMBER,Online
T0000202,C000798,M001,Single Match,2025-02-12,1,45.55,45.55,West Sideline,,Sales Representative
T0000203,C000068,M001,Season Ticket,2025-02-16,1,34.91,34.91,West Sideline,MEMBER,Online
T0000204,C003034,M001,Single Match,2025-03-03,2,43.97,87.94,East Sideline,,Mobile App
T0000205,C002944,M001,Group,2025-02-05,16,19.88,318.08,Family Zone,GROUP15,Online
T0000206,C001304,M001,Season Ticket,2025-02-10,2,22.98,45.96,Supporters' End,MEMBER,Box Office
T0000207,C001126,M001,Single Match,2025-01-15,3,46.55,139.65,East Sideline,,Online
T0000208,C001637,M001,Season Ticket,2024-11-17,1,24.42,24.42,Supporters' End,MEMBER,Online
T0000209,C001817,M001,Season Ticket,2025-02-04,1,29.66,29.66,East Sideline,MEMBER,Online
T0000210,C001301,M001,Season Ticket,2024-09-22,2,23.12,46.24,Supporters' End,MEMBER,Mobile App
T0000211,C001861,M001,Single Match,2025-03-07,1,34.57,34.57,Family Zone,,Box Office
T0000212,C002907,M001,Season Ticket,2025-01-06,1,42.61,42.61,Club Level,MEMBER,Mobile App
T0000213,C003044,M001,Single Match,2025-01-13,2,35.26,70.52,Supporters' End,,Online
T0000214,C001673,M001,Single Match,2025-01-29,2,34.91,69.82,Supporters' End,,Mobile App
T0000215,C001552,M001,Season Ticket,2024-09-03,1,33.38,33.38,West Sideline,MEMBER,Online
T0000216,C002480,M001,Season Ticket,2024-12-13,1,32.16,32.16,West Sideline,MEMBER,Mobile App
T0000217,C001882,M001,Season Ticket,2025-01-03,3,23.1,69.3,Supporters' End,MEMBER,Mobile App
T0000218,C000900,M001,Season Ticket,2025-01-07,1,31.48,31.48,East Sideline,MEMBER,Mobile App
T0000219,C001177,M001,Season Ticket,2025-02-17,2,44.11,88.22,Club Level,MEMBER,Online
T0000220,C003146,M001,Group,2025-02-21,20,19.14,382.8,Family Zone,GROUP15,Mobile App
T0000221,C001468,M001,Season Ticket,2025-03-02,2,32.12,64.24,West Sideline,MEMBER,Online
T0000222,C000489,M001,Single Match,2024-12-24,2,32.02,64.04,Supporters' End,,Mobile App
T0000223,C001666,M001,Season Ticket,2024-12-03,1,21.98,21.98,Supporters' End,MEMBER,Mobile App
T0000224,C002901,M001,Single Match,2025-01-30,3,33.73,101.19,Supporters' End,,Mobile App
T0000225,C001463,M001,Season Ticket,2025-01-19,1,30.79,30.79,East Sideline,MEMBER,Box Office
T0000226,C002910,M001,Single Match,2025-02-17,1,41.21,41.21,East Sideline,,Mobile App
T0000227,C000436,M001,Premium,2025-01-01,2,195.15,390.3,Fieldside,,Sales Representative
T0000228,C001553,M001,Group,2025-01-08,16,18.24,291.84,North End,GROUP15,Sales Representative
T0000229,C000772,M001,Season Ticket,2025-03-01,2,23.36,46.72,Supporters' End,MEMBER,Box Office
T0000230,C000853,M001,Single Match,2025-01-29,2,33.69,67.38,Family Zone,,Online
T0000231,C001652,M001,Single Match,2025-01-09,1,40.49,40.49,East Sideline,,Online
T0000232,C002265,M001,Single Match,2025-03-06,4,45.85,183.4,West Sideline,,Online
T0000233,C000542,M001,Group,2025-02-06,16,18.83,301.28,Family Zone,GROUP15,Sales Representative
T0000234,C002933,M001,Season Ticket,2024-08-27,1,31.75,31.75,East Sideline,MEMBER,Online
T0000235,C002005,M001,Season Ticket,2024-10-29,1,32.8,32.8,West Sideline,MEMBER,Online
T0000236,C000446,M001,Season Ticket,2024-09-14,1,30.97,30.97,East Sideline,MEMBER,Mobile App
T0000237,C002379,M001,Premium,2025-02-15,1,185.44,185.44,Fieldside,,Mobile App
T0000238,C001200,M001,Single Match,2025-03-04,3,36.03,108.09,Family Zone,,Mobile App
T0000239,C002547,M001,Season Ticket,2024-10-12,2,45.81,91.62,Club Level,MEMBER,Box Office
T0000240,C002048,M001,Season Ticket,2024-10-14,1,23.17,23.17,Supporters' End,MEMBER,Online
T0000241,C002201,M001,Season Ticket,2024-11-04,2,31.26,62.52,West Sideline,MEMBER,Mobile App
T0000242,C002041,M001,Season Ticket,2025-03-04,1,23.54,23.54,Supporters' End,MEMBER,Sales Representative
T0000243,C001165,M001,Season Ticket,2025-02-23,4,23.41,93.64,Supporters' End,MEMBER,Mobile App
T0000244,C001620,M001,Single Match,2025-02-18,2,32.96,65.92,Supporters' End,,Online
T0000245,C002417,M001,Season Ticket,2024-09-09,2,23.33,46.66,Supporters' End,MEMBER,Online
T0000246,C002850,M001,Single Match,2025-01-09,1,46.02,46.02,West Sideline,,Box Office
T0000247,C000276,M001,Season Ticket,2025-03-04,2,24.77,49.54,Supporters' End,MEMBER,Mobile App
T0000248,C001241,M001,Single Match,2025-01-25,1,48.55,48.55,West Sideline,,Mobile App
T0000249,C001790,M001,Premium,2025-01-30,1,190.13,190.13,Fieldside,,Online
T0000250,C000505,M001,Season Ticket,2024-09-26,1,23.69,23.69,Supporters' End,MEMBER,Online
T0000251,C001704,M001,Season Ticket,2024-12-20,1,23.39,23.39,Supporters' End,MEMBER,Mobile App
T0000252,C001712,M001,Season Ticket,2024-10-11,2,29.36,58.72,East Sideline,MEMBER,Online
T0000253,C001996,M001,Premium,2025-02-01,1,152.64,152.64,Club Level,FAMILY,Box Office
T0000254,C000927,M001,Season Ticket,2024-08-18,1,23.26,23.26,Supporters' End,MEMBER,Box Office
T0000255,C001801,M001,Season Ticket,2025-01-24,1,34.03,34.03,West Sideline,MEMBER,Mobile App
T0000256,C001498,M001,Premium,2025-03-04,3,223.25,669.75,Summit Suites,,Mobile App
T0000257,C000308,M001,Season Ticket,2025-01-05,1,22.02,22.02,Supporters' End,MEMBER,Box Office
T0000258,C001947,M001,Season Ticket,2024-09-03,2,31.93,63.86,West Sideline,MEMBER,Mobile App
T0000259,C002991,M001,Season Ticket,2024-09-14,1,30.82,30.82,East Sideline,MEMBER,Online
T0000260,C000359,M001,Single Match,2025-03-04,2,45.18,90.36,East Sideline,,Sales Representative
T0000261,C002149,M001,Season Ticket,2025-01-24,2,30.28,60.56,East Sideline,MEMBER,Box Office
T0000262,C000575,M001,Season Ticket,2024-09-22,2,31.66,63.32,East Sideline,MEMBER,Box Office
T0000263,C000459,M001,Group,2025-02-14,20,17.35,347.0,Family Zone,GROUP15,Online
T0000264,C000539,M001,Season Ticket,2025-02-22,1,34.67,34.67,West Sideline,MEMBER,Online
T0000265,C000454,M001,Season Ticket,2024-09-05,1,23.06,23.06,Supporters' End,MEMBER,Sales Representative
T0000266,C000318,M001,Season Ticket,2025-02-16,1,22.89,22.89,Supporters' End,MEMBER,Online
T0000267,C003132,M001,Season Ticket,2025-02-15,2,29.67,59.34,East Sideline,MEMBER,Online
T0000268,C000017,M001,Premium,2025-02-17,4,226.65,906.6,Summit Suites,,Sales Representative
T0000269,C000820,M001,Season Ticket,2025-02-24,3,23.57,70.71,Supporters' End,MEMBER,Mobile App
T0000270,C001708,M001,Single Match,2025-01-28,3,42.44,127.32,East Sideline,,Online
T0000271,C001239,M001,Season Ticket,2024-09-30,2,31.8,63.6,West Sideline,MEMBER,Online
T0000272,C002107,M001,Premium,2025-02-14,4,173.93,695.72,Club Level,,Online
T0000273,C001676,M001,Season Ticket,2024-09-23,4,30.39,121.56,East Sideline,MEMBER,Online
T0000274,C002882,M001,Single Match,2025-01-22,1,45.86,45.86,West Sideline,,Online
T0000275,C000615,M001,Single Match,2025-02-23,2,42.94,85.88,East Sideline,,Online
T0000276,C001163,M001,Season Ticket,2025-02-20,2,24.17,48.34,Supporters' End,MEMBER,Online
T0000277,C001959,M001,Season Ticket,2024-08-15,1,31.86,31.86,West Sideline,MEMBER,Sales Representative
T0000278,C002542,M001,Season Ticket,2025-02-03,2,34.67,69.34,West Sideline,MEMBER,Mobile App
T0000279,C001056,M001,Single Match,2025-02-10,2,44.72,89.44,West Sideline,,Online
