conversion_id,campaign_id,customer_id,sent,opened,clicked,converted,conversion_date,revenue,attributed_ticket_id
CV0000085,CMP001,C001496,1,1,0,0,,0.0,
CV0000086,CMP001,C001426,1,0,0,0,,0.0,
CV0000087,CMP001,C002801,1,0,0,0,,0.0,
CV0000088,CMP001,C000900,1,1,1,1,2024-12-05,129.54,T0011612
CV0000089,CMP001,C000039,1,1,0,0,,0.0,
CV0000090,CMP001,C001712,1,0,0,0,,0.0,
CV0000091,CMP001,C001977,1,0,0,0,,0.0,
CV0000092,CMP001,C000557,1,0,0,0,,0.0,
CV0000093,CMP001,C002321,1,0,0,0,,0.0,
CV0000094,CMP001,C000841,1,1,0,0,,0.0,
CV0000095,CMP001,C003071,1,1,0,0,,0.0,
CV0000096,CMP001,C001111,1,0,0,0,,0.0,
CV0000097,CMP001,C001489,1,1,0,0,,0.0,
CV0000098,CMP001,C000772,1,1,1,1,2025-01-25,185.85,T0005247
CV0000099,CMP001,C002920,1,1,0,0,,0.0,
CV0000100,CMP001,C003159,1,0,0,0,,0.0,
CV0000101,CMP001,C000664,1,0,0,0,,0.0,
CV0000102,CMP001,C000323,1,1,1,0,,0.0,
CV0000103,CMP001,C003033,1,0,0,0,,0.0,
CV0000104,CMP001,C001789,1,0,0,0,,0.0,
CV0000105,CMP001,C001421,1,1,0,0,,0.0,
CV0000106,CMP001,C002883,1,1,0,0,,0.0,
CV0000107,CMP001,C003012,1,1,0,0,,0.0,
CV0000108,CMP001,C001306,1,0,0,0,,0.0,
CV0000109,CMP001,C000905,1,0,0,0,,0.0,
CV0000110,CMP001,C002332,1,0,0,0,,0.0,
CV0000111,CMP001,C001244,1,0,0,0,,0.0,
CV0000112,CMP001,C002285,1,1,0,0,,0.0,
CV0000113,CMP001,C001810,1,1,0,0,,0.0,
CV0000114,CMP001,C001577,1,1,0,0,,0.0,
CV0000115,CMP001,C001998,1,1,0,0,,0.0,
CV0000116,CMP001,C002748,1,0,0,0,,0.0,
CV0000117,CMP001,C000520,1,0,0,0,,0.0,
CV0000118,CMP001,C002647,1,0,0,0,,0.0,
CV0000119,CMP001,C000679,1,1,1,1,2025-01-04,112.87,T0005970
CV0000120,CMP001,C000527,1,0,0,0,,0.0,
CV0000121,CMP001,C000526,1,1,0,0,,0.0,
CV0000122,CMP001,C000401,1,1,0,0,,0.0,
CV0000123,CMP001,C002857,1,1,0,0,,0.0,
CV0000124,CMP001,C002461,1,1,0,0,,0.0,
CV0000125,CMP001,C001227,1,0,0,0,,0.0,
CV0000126,CMP001,C000182,1,1,0,0,,0.0,
CV0000127,CMP001,C001468,1,0,0,0,,0.0,
CV0000128,CMP001,C002417,1,1,0,0,,0.0,
CV0000129,CMP001,C000464,1,0,0,0,,0.0,
CV0000130,CMP001,C001683,1,0,0,0,,0.0,
CV0000131,CMP001,C000063,1,0,0,0,,0.0,
CV0000132,CMP001,C002941,1,1,0,0,,0.0,
CV0000133,CMP001,C001911,1,0,0,0,,0.0,
CV0000134,CMP001,C000274,1,0,0,0,,0.0,
CV0000135,CMP001,C002534,1,0,0,0,,0.0,
CV0000136,CMP001,C000971,1,0,0,0,,0.0,
CV0000137,CMP001,C001567,1,1,0,0,,0.0,
CV0000138,CMP001,C001847,1,1,1,0,,0.0,
CV0000139,CMP001,C002297,1,1,0,0,,0.0,
CV0000140,CMP001,C001099,1,0,0,0,,0.0,
CV0000141,CMP001,C002130,1,0,0,0,,0.0,
CV0000142,CMP001,C001981,1,0,0,0,,0.0,
CV0000143,CMP001,C000882,1,0,0,0,,0.0,
CV0000144,CMP001,C000218,1,1,1,0,,0.0,
CV0000145,CMP001,C003168,1,1,0,0,,0.0,
CV0000146,CMP001,C002351,1,1,0,0,,0.0,
CV0000147,CMP001,C001494,1,1,0,0,,0.0,
CV0000148,CMP001,C000346,1,0,0,0,,0.0,
CV0000149,CMP001,C002001,1,1,1,0,,0.0,
CV0000150,CMP001,C001135,1,0,0,0,,0.0,
CV0000151,CMP001,C002113,1,1,0,0,,0.0,
CV0000152,CMP001,C000839,1,1,1,0,,0.0,
CV0000153,CMP001,C001499,1,1,1,0,,0.0,
CV0000154,CMP001,C002233,1,0,0,0,,0.0,
CV0000155,CMP001,C002218,1,0,0,0,,0.0,
CV0000156,CMP001,C001327,1,1,0,0,,0.0,
CV0000157,CMP001,C002657,1,1,0,0,,0.0,
CV0000158,CMP001,C001442,1,1,1,0,,0.0,
CV0000159,CMP001,C001716,1,1,0,0,,0.0,
CV0000160,CMP001,C002172,1,0,0,0,,0.0,
CV0000161,CMP001,C001181,1,0,0,0,,0.0,
CV0000162,CMP001,C002430,1,0,0,0,,0.0,
CV0000163,CMP001,C002756,1,1,1,0,,0.0,
CV0000164,CMP001,C001663,1,1,0,0,,0.0,
CV0000165,CMP001,C001021,1,0,0,0,,0.0,
CV0000166,CMP001,C001213,1,0,0,0,,0.0,
CV0000167,CMP001,C002635,1,0,0,0,,0.0,
CV0000168,CMP001,C002243,1,1,1,0,,0.0,
CV0000169,CMP001,C000685,1,1,0,0,,0.0,
CV0000170,CMP001,C000446,1,1,0,0,,0.0,
CV0000171,CMP001,C003038,1,1,0,0,,0.0,
CV0000172,CMP001,C000403,1,1,0,0,,0.0,
CV0000173,CMP001,C001153,1,1,1,1,2025-01-10,96.05,T0018820
CV0000174,CMP001,C001668,1,0,0,0,,0.0,
CV0000175,CMP001,C001568,1,0,0,0,,0.0,
CV0000176,CMP001,C000352,1,1,0,0,,0.0,
CV0000177,CMP001,C002330,1,1,0,0,,0.0,
CV0000178,CMP001,C002045,1,1,0,0,,0.0,
CV0000179,CMP001,C000803,1,1,0,0,,0.0,
CV0000180,CMP001,C000505,1,1,0,0,,0.0,
CV0000181,CMP001,C001988,1,0,0,0,,0.0,
CV0000182,CMP001,C000369,1,1,0,0,,0.0,
CV0000183,CMP001,C002126,1,1,0,0,,0.0,
CV0000184,CMP001,C003163,1,0,0,0,,0.0,
CV0000185,CMP001,C000266,1,0,0,0,,0.0,
CV0000186,CMP001,C003133,1,1,1,0,,0.0,
CV0000187,CMP001,C002836,1,0,0,0,,0.0,
CV0000188,CMP001,C003138,1,0,0,0,,0.0,
CV0000189,CMP001,C000928,1,1,1,0,,0.0,
CV0000190,CMP001,C001571,1,1,0,0,,0.0,
CV0000191,CMP001,C001616,1,1,0,0,,0.0,
CV0000192,CMP001,C001035,1,1,0,0,,0.0,
CV0000193,CMP001,C002771,1,0,0,0,,0.0,
CV0000194,CMP001,C002369,1,1,0,0,,0.0,
CV0000195,CMP001,C000787,1,0,0,0,,0.0,
CV0000196,CMP001,C002889,1,0,0,0,,0.0,
CV0000197,CMP001,C002250,1,1,1,1,2025-01-29,148.81,T0008689
CV0000198,CMP001,C000318,1,0,0,0,,0.0,
CV0000199,CMP001,C000460,1,0,0,0,,0.0,
CV0000200,CMP001,C002006,1,0,0,0,,0.0,
CV0000201,CMP001,C000341,1,0,0,0,,0.0,
CV0000202,CMP001,C001630,1,1,0,0,,0.0,
CV0000203,CMP001,C001991,1,0,0,0,,0.0,
CV0000204,CMP001,C000513,1,0,0,0,,0.0,
CV0000205,CMP001,C001895,1,0,0,0,,0.0,
CV0000206,CMP001,C001089,1,1,1,0,,0.0,
CV0000207,CMP001,C001279,1,1,0,0,,0.0,
CV0000208,CMP001,C001540,1,0,0,0,,0.0,
CV0000209,CMP001,C000559,1,1,1,0,,0.0,
CV0000210,CMP001,C000145,1,0,0,0,,0.0,
CV0000211,CMP001,C003142,1,1,0,0,,0.0,
CV0000212,CMP001,C001304,1,0,0,0,,0.0,
CV0000213,CMP001,C001162,1,1,0,0,,0.0,
CV0000214,CMP001,C002724,1,1,0,0,,0.0,
CV0000215,CMP001,C002811,1,0,0,0,,0.0,
CV0000216,CMP001,C003014,1,0,0,0,,0.0,
CV0000217,CMP001,C000628,1,0,0,0,,0.0,
CV0000218,CMP001,C002601,1,1,0,0,,0.0,
CV0000219,CMP001,C000156,1,0,0,0,,0.0,
CV0000220,CMP001,C002058,1,1,0,0,,0.0,
CV0000221,CMP001,C002131,1,0,0,0,,0.0,
CV0000222,CMP001,C001938,1,0,0,0,,0.0,
CV0000223,CMP001,C002695,1,1,0,0,,0.0,
CV0000224,CMP001,C000889,1,1,0,0,,0.0,
CV0000225,CMP001,C000190,1,0,0,0,,0.0,
CV0000226,CMP001,C002456,1,1,0,0,,0.0,
CV0000227,CMP001,C000650,1,0,0,0,,0.0,
CV0000228,CMP001,C001269,1,1,1,0,,0.0,
CV0000229,CMP001,C001178,1,0,0,0,,0.0,
CV0000230,CMP001,C000776,1,1,0,0,,0.0,
CV0000231,CMP001,C001486,1,1,0,0,,0.0,
CV0000232,CMP001,C001637,1,0,0,0,,0.0,
CV0000233,CMP001,C002166,1,0,0,0,,0.0,
CV0000234,CMP001,C000203,1,1,0,0,,0.0,
CV0000235,CMP001,C000045,1,0,0,0,,0.0,
CV0000236,CMP001,C001447,1,0,0,0,,0.0,
CV0000237,CMP001,C002922,1,0,0,0,,0.0,
CV0000238,CMP001,C001437,1,1,0,0,,0.0,
CV0000239,CMP001,C000669,1,1,0,0,,0.0,
CV0000240,CMP001,C002681,1,0,0,0,,0.0,
CV0000241,CMP001,C001614,1,1,0,0,,0.0,
CV0000242,CMP001,C001552,1,0,0,0,,0.0,
CV0000243,CMP001,C002276,1,1,0,0,,0.0,
CV0000244,CMP001,C000053,1,0,0,0,,0.0,
CV0000245,CMP001,C001376,1,1,1,0,,0.0,
CV0000246,CMP001,C001301,1,1,0,0,,0.0,
CV0000247,CMP001,C000290,1,0,0,0,,0.0,
CV0000248,CMP001,C002692,1,0,0,0,,0.0,
CV0000249,CMP001,C001882,1,0,0,0,,0.0,
CV0000250,CMP001,C001108,1,1,0,0,,0.0,
CV0000251,CMP001,C001641,1,0,0,0,,0.0,
CV0000252,CMP001,C000698,1,1,0,0,,0.0,
CV0000253,CMP001,C003199,1,1,0,0,,0.0,
CV0000254,CMP001,C002509,1,1,0,0,,0.0,
CV0000255,CMP001,C000261,1,0,0,0,,0.0,
CV0000256,CMP001,C002123,1,0,0,0,,0.0,
CV0000257,CMP001,C002149,1,0,0,0,,0.0,
CV0000258,CMP001,C002526,1,1,0,0,,0.0,
CV0000259,CMP001,C002943,1,1,0,0,,0.0,
CV0000260,CMP001,C001066,1,1,0,0,,0.0,
CV0000261,CMP001,C003154,1,1,1,0,,0.0,
CV0000262,CMP001,C002759,1,1,0,0,,0.0,
CV0000263,CMP001,C001964,1,1,1,0,,0.0,
CV0000264,CMP001,C002281,1,0,0,0,,0.0,
CV0000265,CMP001,C001581,1,1,1,0,,0.0,
CV0000266,CMP001,C002159,1,1,0,0,,0.0,
CV0000267,CMP001,C002757,1,1,0,0,,0.0,
CV0000268,CMP001,C002490,1,0,0,0,,0.0,
CV0000269,CMP001,C003049,1,1,0,0,,0.0,
CV0000270,CMP001,C002666,1,1,0,0,,0.0,
CV0000271,CMP001,C000977,1,0,0,0,,0.0,
CV0000272,CMP001,C002093,1,1,1,0,,0.0,
CV0000273,CMP001,C000150,1,1,0,0,,0.0,
CV0000274,CMP001,C001222,1,0,0,0,,0.0,
CV0000275,CMP001,C000582,1,0,0,0,,0.0,
CV0000276,CMP001,C001064,1,0,0,0,,0.0,
CV0000277,CMP001,C002562,1,0,0,0,,0.0,
CV0000278,CMP001,C002886,1,1,0,0,,0.0,
CV0000279,CMP001,C000862,1,0,0,0,,0.0,
CV0000280,CMP001,C000561,1,0,0,0,,0.0,
CV0000281,CMP001,C001860,1,0,0,0,,0.0,
CV0000282,CMP001,C000130,1,1,0,0,,0.0,
CV0000283,CMP001,C000921,1,1,1,1,2024-12-15,122.04,T0002889
CV0000284,CMP001,C001313,1,0,0,0,,0.0,
CV0000285,CMP001,C001817,1,1,0,0,,0.0,
CV0000286,CMP001,C000487,1,1,1,0,,0.0,
CV0000287,CMP001,C001192,1,1,0,0,,0.0,
CV0000288,CMP001,C001966,1,0,0,0,,0.0,
CV0000289,CMP001,C001165,1,1,0,0,,0.0,
CV0000290,CMP001,C000694,1,1,0,0,,0.0,
CV0000291,CMP001,C002751,1,0,0,0,,0.0,
CV0000292,CMP001,C001508,1,1,0,0,,0.0,
CV0000293,CMP001,C000302,1,1,0,0,,0.0,
CV0000294,CMP001,C000736,1,0,0,0,,0.0,
CV0000295,CMP001,C000073,1,0,0,0,,0.0,
CV0000296,CMP001,C001400,1,0,0,0,,0.0,
CV0000297,CMP001,C002871,1,0,0,0,,0.0,
CV0000298,CMP001,C001270,1,0,0,0,,0.0,
CV0000299,CMP001,C000827,1,1,0,0,,0.0,
CV0000300,CMP001,C001997,1,0,0,0,,0.0,
CV0000301,CMP001,C002261,1,0,0,0,,0.0,
CV0000302,CMP001,C000409,1,1,0,0,,0.0,
CV0000303,CMP001,C001359,1,0,0,0,,0.0,
CV0000304,CMP001,C000381,1,0,0,0,,0.0,
CV0000305,CMP001,C000710,1,1,0,0,,0.0,
CV0000306,CMP001,C000992,1,1,1,0,,0.0,
CV0000307,CMP001,C001657,1,1,0,0,,0.0,
CV0000308,CMP001,C001026,1,1,0,0,,0.0,
CV0000309,CMP001,C000031,1,0,0,0,,0.0,
CV0000310,CMP001,C002114,1,1,0,0,,0.0,
CV0000311,CMP001,C001871,1,0,0,0,,0.0,
CV0000312,CMP001,C002554,1,0,0,0,,0.0,
CV0000313,CMP001,C001839,1,0,0,0,,0.0,
CV0000314,CMP001,C000903,1,0,0,0,,0.0,
CV0000315,CMP001,C000757,1,0,0,0,,0.0,
CV0000316,CMP001,C000566,1,0,0,0,,0.0,
CV0000317,CMP001,C001992,1,0,0,0,,0.0,
CV0000318,CMP001,C001536,1,0,0,0,,0.0,
CV0000319,CMP001,C003198,1,1,0,0,,0.0,
CV0000320,CMP001,C000591,1,1,0,0,,0.0,
CV0000321,CMP001,C001989,1,0,0,0,,0.0,
CV0000322,CMP001,C001760,1,0,0,0,,0.0,
CV0000323,CMP001,C001826,1,1,0,0,,0.0,
CV0000324,CMP001,C003143,1,1,0,0,,0.0,
CV0000325,CMP001,C001315,1,1,0,0,,0.0,
CV0000326,CMP001,C002770,1,0,0,0,,0.0,
CV0000327,CMP001,C001709,1,1,0,0,,0.0,
CV0000328,CMP001,C000065,1,1,0,0,,0.0,
CV0000329,CMP001,C001488,1,0,0,0,,0.0,
CV0000330,CMP001,C001374,1,0,0,0,,0.0,
CV0000331,CMP001,C003107,1,0,0,0,,0.0,
CV0000332,CMP001,C000132,1,0,0,0,,0.0,
CV0000333,CMP001,C002761,1,0,0,0,,0.0,
CV0000334,CMP001,C002145,1,0,0,0,,0.0,
CV0000335,CMP001,C001043,1,0,0,0,,0.0,
CV0000336,CMP001,C002076,1,1,0,0,,0.0,
CV0000337,CMP001,C000758,1,1,0,0,,0.0,
CV0000338,CMP001,C001959,1,1,0,0,,0.0,
CV0000339,CMP001,C001163,1,0,0,0,,0.0,
CV0000340,CMP001,C003054,1,0,0,0,,0.0,
CV0000341,CMP001,C002443,1,0,0,0,,0.0,
CV0000342,CMP001,C001383,1,0,0,0,,0.0,
CV0000343,CMP001,C003092,1,1,0,0,,0.0,
CV0000344,CMP001,C001808,1,0,0,0,,0.0,
CV0000345,CMP001,C000585,1,0,0,0,,0.0,
CV0000346,CMP001,C001559,1,1,0,0,,0.0,
CV0000347,CMP001,C002559,1,0,0,0,,0.0,
CV0000348,CMP001,C000937,1,1,0,0,,0.0,
CV0000349,CMP001,C001041,1,1,1,0,,0.0,
CV0000350,CMP001,C000080,1,1,1,0,,0.0,
CV0000351,CMP001,C001714,1,1,0,0,,0.0,
CV0000352,CMP001,C002217,1,1,0,0,,0.0,
CV0000353,CMP001,C000533,1,0,0,0,,0.0,
CV0000354,CMP001,C000193,1,1,0,0,,0.0,
CV0000355,CMP001,C002658,1,0,0,0,,0.0,
CV0000356,CMP001,C001228,1,0,0,0,,0.0,
CV0000357,CMP001,C002862,1,1,0,0,,0.0,
CV0000358,CMP001,C000038,1,1,1,1,2024-12-13,141.84,T0007811
CV0000359,CMP001,C000995,1,0,0,0,,0.0,
CV0000360,CMP001,C000510,1,1,0,0,,0.0,
CV0000361,CMP001,C000445,1,1,0,0,,0.0,
CV0000362,CMP001,C002627,1,0,0,0,,0.0,
CV0000363,CMP001,C002614,1,1,0,0,,0.0,
CV0000364,CMP001,C002047,1,1,1,0,,0.0,
CV0000365,CMP001,C001006,1,0,0,0,,0.0,
CV0000366,CMP001,C002968,1,0,0,0,,0.0,
CV0000367,CMP001,C001138,1,0,0,0,,0.0,
CV0000368,CMP001,C000581,1,0,0,0,,0.0,
CV0000369,CMP001,C002048,1,1,0,0,,0.0,
CV0000370,CMP001,C000884,1,0,0,0,,0.0,
CV0000371,CMP001,C001761,1,0,0,0,,0.0,
CV0000372,CMP001,C002021,1,0,0,0,,0.0,
CV0000373,CMP001,C002119,1,1,1,0,,0.0,
CV0000374,CMP001,C002582,1,1,0,0,,0.0,
CV0000375,CMP001,C002799,1,1,0,0,,0.0,
CV0000376,CMP001,C000414,1,1,0,0,,0.0,
CV0000377,CMP001,C003046,1,1,0,0,,0.0,
CV0000378,CMP001,C001500,1,1,0,0,,0.0,
CV0000379,CMP001,C001764,1,1,1,1,2024-11-20,145.24,T0004378
CV0000380,CMP001,C000592,1,1,0,0,,0.0,
CV0000381,CMP001,C000189,1,0,0,0,,0.0,
CV0000382,CMP001,C002873,1,1,0,0,,0.0,
CV0000383,CMP001,C002201,1,0,0,0,,0.0,
CV0000384,CMP001,C000383,1,1,0,0,,0.0,
CV0000385,CMP001,C000028,1,0,0,0,,0.0,
CV0000386,CMP001,C001863,1,1,0,0,,0.0,
CV0000387,CMP001,C002796,1,1,1,0,,0.0,
CV0000388,CMP001,C002564,1,1,0,0,,0.0,
CV0000389,CMP001,C002306,1,1,1,0,,0.0,
CV0000390,CMP001,C001522,1,0,0,0,,0.0,
CV0000391,CMP001,C002019,1,1,1,0,,0.0,
CV0000392,CMP001,C002013,1,1,1,0,,0.0,
CV0000393,CMP001,C000539,1,1,1,0,,0.0,
CV0000394,CMP001,C000501,1,0,0,0,,0.0,
CV0000395,CMP001,C001239,1,0,0,0,,0.0,
CV0000396,CMP001,C001925,1,0,0,0,,0.0,
CV0000397,CMP001,C002728,1,0,0,0,,0.0,
CV0000398,CMP001,C001455,1,0,0,0,,0.0,
CV0000399,CMP001,C002005,1,0,0,0,,0.0,
CV0000400,CMP001,C002411,1,1,0,0,,0.0,
CV0000401,CMP001,C000185,1,1,0,0,,0.0,
CV0000402,CMP001,C000599,1,1,0,0,,0.0,
CV0000403,CMP001,C000927,1,1,0,0,,0.0,
CV0000404,CMP001,C003189,1,0,0,0,,0.0,
CV0000405,CMP001,C000149,1,0,0,0,,0.0,
CV0000406,CMP001,C000742,1,1,0,0,,0.0,
CV0000407,CMP001,C001380,1,0,0,0,,0.0,
CV0000408,CMP001,C002638,1,1,1,0,,0.0,
CV0000409,CMP001,C000553,1,1,0,0,,0.0,
CV0000410,CMP001,C000983,1,1,0,0,,0.0,
CV0000411,CMP001,C000244,1,1,1,0,,0.0,
CV0000412,CMP001,C001543,1,1,0,0,,0.0,
CV0000413,CMP001,C002636,1,1,1,0,,0.0,
CV0000414,CMP001,C001563,1,0,0,0,,0.0,
CV0000415,CMP001,C000380,1,0,0,0,,0.0,
CV0000416,CMP001,C001072,1,1,1,0,,0.0,
CV0000417,CMP001,C002026,1,0,0,0,,0.0,
CV0000418,CMP001,C001983,1,1,0,0,,0.0,
CV0000419,CMP001,C002982,1,1,0,0,,0.0,
CV0000420,CMP001,C002041,1,1,0,0,,0.0,
CV0000421,CMP001,C003125,1,1,0,0,,0.0,
CV0000422,CMP001,C001605,1,1,1,0,,0.0,
CV0000423,CMP001,C002816,1,0,0,0,,0.0,
CV0000424,CMP001,C001082,1,0,0,0,,0.0,
CV0000425,CMP001,C001920,1,1,0,0,,0.0,
CV0000426,CMP001,C002435,1,0,0,0,,0.0,
CV0000427,CMP001,C000833,1,0,0,0,,0.0,
CV0000428,CMP001,C001972,1,0,0,0,,0.0,
CV0000429,CMP001,C001314,1,0,0,0,,0.0,
CV0000430,CMP001,C002408,1,1,0,0,,0.0,
CV0000431,CMP001,C002774,1,0,0,0,,0.0,
CV0000432,CMP001,C001417,1,0,0,0,,0.0,
CV0000433,CMP001,C000624,1,1,0,0,,0.0,
CV0000434,CMP001,C002800,1,1,1,0,,0.0,
CV0000435,CMP001,C002155,1,1,1,1,2024-11-20,129.2,T0024133
CV0000436,CMP001,C002319,1,0,0,0,,0.0,
CV0000437,CMP001,C000204,1,1,0,0,,0.0,
CV0000438,CMP001,C000951,1,1,0,0,,0.0,
CV0000439,CMP001,C001531,1,0,0,0,,0.0,
CV0000440,CMP001,C003003,1,0,0,0,,0.0,
CV0000441,CMP001,C001779,1,1,1,0,,0.0,
CV0000442,CMP001,C001340,1,0,0,0,,0.0,
CV0000443,CMP001,C002289,1,0,0,0,,0.0,
CV0000444,CMP001,C001003,1,0,0,0,,0.0,
CV0000445,CMP001,C001828,1,1,0,0,,0.0,
CV0000446,CMP001,C000237,1,0,0,0,,0.0,
CV0000447,CMP001,C000878,1,1,1,0,,0.0,
CV0000448,CMP001,C001011,1,0,0,0,,0.0,
CV0000449,CMP001,C002466,1,0,0,0,,0.0,
CV0000450,CMP001,C001258,1,1,1,0,,0.0,
CV0000451,CMP001,C001626,1,1,0,0,,0.0,
CV0000452,CMP001,C001838,1,1,0,0,,0.0,
CV0000453,CMP001,C000808,1,0,0,0,,0.0,
CV0000454,CMP001,C001119,1,1,0,0,,0.0,
CV0000455,CMP001,C001758,1,1,0,0,,0.0,
CV0000456,CMP001,C000467,1,0,0,0,,0.0,
CV0000457,CMP001,C000109,1,1,1,0,,0.0,
CV0000458,CMP001,C001674,1,1,0,0,,0.0,
CV0000459,CMP001,C002798,1,1,0,0,,0.0,
CV0000460,CMP001,C000715,1,1,0,0,,0.0,
CV0000461,CMP001,C002426,1,1,1,1,2025-01-04,92.05,T0015845
CV0000462,CMP001,C002516,1,1,0,0,,0.0,
CV0000463,CMP001,C002147,1,0,0,0,,0.0,
CV0000464,CMP001,C001574,1,1,1,0,,0.0,
CV0000465,CMP001,C003123,1,0,0,0,,0.0,
CV0000466,CMP001,C002506,1,1,0,0,,0.0,
CV0000467,CMP001,C001008,1,0,0,0,,0.0,
CV0000468,CMP001,C003005,1,1,0,0,,0.0,
CV0000469,CMP001,C002315,1,0,0,0,,0.0,
CV0000470,CMP001,C001013,1,0,0,0,,0.0,
CV0000471,CMP001,C000665,1,0,0,0,,0.0,
CV0000472,CMP001,C002628,1,0,0,0,,0.0,
CV0000473,CMP001,C002907,1,0,0,0,,0.0,
