attendance_id,ticket_id,match_id,customer_id,tickets_issued,tickets_scanned,scan_timestamp,entry_gate,attendance_status
A0000104,T0000104,M001,C001884,4,4,2025-03-08 17:48:00,North Gate,Full Scan
A0000105,T0000105,M001,C001527,2,2,2025-03-08 17:33:00,East Gate,Full Scan
A0000106,T0000106,M001,C000855,2,2,2025-03-08 17:54:00,East Gate,Full Scan
A0000107,T0000107,M001,C001984,2,2,2025-03-08 17:52:00,East Gate,Full Scan
A0000108,T0000108,M001,C000048,2,2,2025-03-08 17:35:00,North Gate,Full Scan
A0000109,T0000109,M001,C002204,3,3,2025-03-08 17:00:00,East Gate,Full Scan
A0000110,T0000110,M001,C001270,3,3,2025-03-08 17:03:00,North Gate,Full Scan
A0000111,T0000111,M001,C002123,2,1,2025-03-08 17:07:00,North Gate,Partial Scan
A0000112,T0000112,M001,C000665,1,1,2025-03-08 16:39:00,Premium Entrance,Full Scan
A0000113,T0000113,M001,C002628,2,2,2025-03-08 17:35:00,West Gate,Full Scan
A0000114,T0000114,M001,C001258,2,2,2025-03-08 17:51:00,North Gate,Full Scan
A0000115,T0000115,M001,C001228,2,2,2025-03-08 17:15:00,East Gate,Full Scan
A0000116,T0000116,M001,C000721,2,2,2025-03-08 16:34:00,North Gate,Full Scan
A0000117,T0000117,M001,C001972,2,1,2025-03-08 17:51:00,East Gate,Partial Scan
A0000118,T0000118,M001,C001119,1,1,2025-03-08 16:57:00,North Gate,Full Scan
A0000119,T0000119,M001,C002917,3,3,2025-03-08 17:36:00,North Gate,Full Scan
A0000120,T0000120,M001,C000959,3,3,2025-03-08 17:08:00,West Gate,Full Scan
A0000121,T0000121,M001,C001703,2,2,2025-03-08 17:15:00,Premium Entrance,Full Scan
A0000122,T0000122,M001,C002330,3,3,2025-03-08 17:06:00,West Gate,Full Scan
A0000123,T0000123,M001,C002321,2,2,2025-03-08 17:22:00,Premium Entrance,Full Scan
A0000124,T0000124,M001,C001129,2,2,2025-03-08 17:20:00,North Gate,Full Scan
A0000125,T0000125,M001,C000130,1,1,2025-03-08 17:23:00,West Gate,Full Scan
A0000126,T0000126,M001,C001080,1,1,2025-03-08 17:19:00,North Gate,Full Scan
A0000127,T0000127,M001,C002162,2,2,2025-03-08 17:48:00,West Gate,Full Scan
A0000128,T0000128,M001,C000847,30,21,2025-03-08 17:03:00,East Gate,Partial Scan
A0000129,T0000129,M001,C000290,1,1,2025-03-08 17:18:00,North Gate,Full Scan
A0000130,T0000130,M001,C002647,2,1,2025-03-08 17:21:00,North Gate,Partial Scan
A0000131,T0000131,M001,C000787,1,1,2025-03-08 17:32:00,West Gate,Full Scan
A0000132,T0000132,M001,C003138,2,2,2025-03-08 17:46:00,West Gate,Full Scan
A0000133,T0000133,M001,C001508,1,1,2025-03-08 17:25:00,West Gate,Full Scan
A0000134,T0000134,M001,C001657,2,1,2025-03-08 17:01:00,East Gate,Partial Scan
A0000135,T0000135,M001,C001002,1,1,2025-03-08 16:53:00,North Gate,Full Scan
A0000136,T0000136,M001,C002656,1,1,2025-03-08 17:47:00,North Gate,Full Scan
A0000137,T0000137,M001,C003036,4,4,2025-03-08 16:53:00,West Gate,Full Scan
A0000138,T0000138,M001,C001006,1,1,2025-03-08 17:26:00,East Gate,Full Scan
A0000139,T0000139,M001,C000481,2,2,2025-03-08 16:51:00,Premium Entrance,Full Scan
A0000140,T0000140,M001,C001376,2,2,2025-03-08 17:51:00,North Gate,Full Scan
A0000141,T0000141,M001,C002947,2,2,2025-03-08 17:28:00,West Gate,Full Scan
A0000142,T0000142,M001,C002390,10,10,2025-03-08 17:05:00,West Gate,Full Scan
A0000143,T0000143,M001,C001559,3,2,2025-03-08 16:56:00,North Gate,Partial Scan
A0000144,T0000144,M001,C002896,2,2,2025-03-08 16:48:00,Premium Entrance,Full Scan
A0000145,T0000145,M001,C001574,1,1,2025-03-08 17:07:00,West Gate,Full Scan
A0000146,T0000146,M001,C001896,1,1,2025-03-08 17:19:00,West Gate,Full Scan
A0000147,T0000147,M001,C000478,6,6,2025-03-08 17:07:00,West Gate,Full Scan
A0000148,T0000148,M001,C001981,1,1,2025-03-08 17:22:00,North Gate,Full Scan
A0000149,T0000149,M001,C002131,2,1,2025-03-08 17:11:00,West Gate,Partial Scan
A0000150,T0000150,M001,C002270,3,3,2025-03-08 17:36:00,West Gate,Full Scan
A0000151,T0000151,M001,C002254,2,2,2025-03-08 17:41:00,North Gate,Full Scan
A0000152,T0000152,M001,C002351,1,1,2025-03-08 17:04:00,West Gate,Full Scan
A0000153,T0000153,M001,C001860,2,2,2025-03-08 17:38:00,East Gate,Full Scan
A0000154,T0000154,M001,C001838,3,3,2025-03-08 17:46:00,East Gate,Full Scan
A0000155,T0000155,M001,C003195,20,18,2025-03-08 17:16:00,East Gate,Partial Scan
A0000156,T0000156,M001,C001371,2,2,2025-03-08 17:47:00,East Gate,Full Scan
A0000157,T0000157,M001,C000316,2,1,2025-03-08 17:23:00,Premium Entrance,Partial Scan
A0000158,T0000158,M001,C000439,2,2,2025-03-08 17:08:00,North Gate,Full Scan
A0000159,T0000159,M001,C000451,2,2,2025-03-08 16:20:00,West Gate,Full Scan
A0000160,T0000160,M001,C001872,2,2,2025-03-08 17:15:00,North Gate,Full Scan
A0000161,T0000161,M001,C002637,2,2,2025-03-08 17:29:00,West Gate,Full Scan
A0000162,T0000162,M001,C003159,2,2,2025-03-08 17:43:00,North Gate,Full Scan
A0000163,T0000163,M001,C000078,1,1,2025-03-08 16:53:00,North Gate,Full Scan
A0000164,T0000164,M001,C001695,3,3,2025-03-08 17:54:00,Premium Entrance,Full Scan
A0000165,T0000165,M001,C002603,1,1,2025-03-08 17:45:00,North Gate,Full Scan
A0000166,T0000166,M001,C001839,2,2,2025-03-08 17:19:00,East Gate,Full Scan
A0000167,T0000167,M001,C001547,1,0,,West Gate,No Show
A0000168,T0000168,M001,C001011,2,2,2025-03-08 17:19:00,North Gate,Full Scan
A0000169,T0000169,M001,C002248,2,2,2025-03-08 17:41:00,North Gate,Full Scan
A0000170,T0000170,M001,C002796,2,2,2025-03-08 16:35:00,West Gate,Full Scan
A0000171,T0000171,M001,C001378,1,1,2025-03-08 17:01:00,East Gate,Full Scan
A0000172,T0000172,M001,C002276,1,1,2025-03-08 17:32:00,East Gate,Full Scan
A0000173,T0000173,M001,C000477,1,1,2025-03-08 17:11:00,North Gate,Full Scan
A0000174,T0000174,M001,C000187,1,0,,North Gate,No Show
A0000175,T0000175,M001,C002147,3,3,2025-03-08 17:17:00,East Gate,Full Scan
A0000176,T0000176,M001,C001093,2,2,2025-03-08 17:02:00,West Gate,Full Scan
A0000177,T0000177,M001,C000544,8,8,2025-03-08 17:32:00,Premium Entrance,Full Scan
A0000178,T0000178,M001,C001895,1,1,2025-03-08 17:52:00,Premium Entrance,Full Scan
A0000179,T0000179,M001,C000038,1,1,2025-03-08 17:26:00,West Gate,Full Scan
A0000180,T0000180,M001,C002803,4,4,2025-03-08 17:29:00,East Gate,Full Scan
A0000181,T0000181,M001,C001013,2,1,2025-03-08 16:33:00,East Gate,Partial Scan
A0000182,T0000182,M001,C001885,2,2,2025-03-08 17:19:00,West Gate,Full Scan
A0000183,T0000183,M001,C001668,1,1,2025-03-08 17:38:00,East Gate,Full Scan
A0000184,T0000184,M001,C001540,1,1,2025-03-08 17:10:00,West Gate,Full Scan
A0000185,T0000185,M001,C001999,4,3,2025-03-08 17:33:00,North Gate,Partial Scan
A0000186,T0000186,M001,C000902,30,26,2025-03-08 17:22:00,East Gate,Partial Scan
A0000187,T0000187,M001,C002262,4,4,2025-03-08 17:12:00,East Gate,Full Scan
A0000188,T0000188,M001,C000710,3,3,2025-03-08 17:38:00,North Gate,Full Scan
A0000189,T0000189,M001,C002512,2,2,2025-03-08 17:57:00,East Gate,Full Scan
A0000190,T0000190,M001,C003141,3,3,2025-03-08 17:57:00,Premium Entrance,Full Scan
A0000191,T0000191,M001,C001313,1,1,2025-03-08 17:51:00,East Gate,Full Scan
A0000192,T0000192,M001,C000169,3,3,2025-03-08 17:41:00,West Gate,Full Scan
A0000193,T0000193,M001,C001379,1,1,2025-03-08 17:17:00,West Gate,Full Scan
A0000194,T0000194,M001,C000553,2,2,2025-03-08 17:50:00,West Gate,Full Scan
A0000195,T0000195,M001,C001929,16,13,2025-03-08 17:41:00,East Gate,Partial Scan
A0000196,T0000196,M001,C002150,1,1,2025-03-08 17:26:00,East Gate,Full Scan
A0000197,T0000197,M001,C000585,2,2,2025-03-08 17:54:00,West Gate,Full Scan
A0000198,T0000198,M001,C002578,2,2,2025-03-08 16:58:00,Premium Entrance,Full Scan
A0000199,T0000199,M001,C002006,2,2,2025-03-08 17:17:00,East Gate,Full Scan
A0000200,T0000200,M001,C001990,2,1,2025-03-08 17:37:00,West Gate,Partial Scan
A0000201,T0000201,M001,C001566,2,2,2025-03-08 17:05:00,West Gate,Full Scan
A0000202,T0000202,M001,C000798,1,1,2025-03-08 17:25:00,West Gate,Full Scan
A0000203,T0000203,M001,C000068,1,1,2025-03-08 17:22:00,West Gate,Full Scan
A0000204,T0000204,M001,C003034,2,2,2025-03-08 17:21:00,Premium Entrance,Full Scan
A0000205,T0000205,M001,C002944,16,13,2025-03-08 17:28:00,Premium Entrance,Partial Scan
A0000206,T0000206,M001,C001304,2,2,2025-03-08 16:53:00,East Gate,Full Scan
A0000207,T0000207,M001,C001126,3,3,2025-03-08 17:33:00,West Gate,Full Scan
A0000208,T0000208,M001,C001637,1,1,2025-03-08 17:47:00,Premium Entrance,Full Scan
A0000209,T0000209,M001,C001817,1,1,2025-03-08 17:10:00,East Gate,Full Scan
A0000210,T0000210,M001,C001301,2,2,2025-03-08 17:13:00,North Gate,Full Scan
A0000211,T0000211,M001,C001861,1,1,2025-03-08 17:15:00,West Gate,Full Scan
A0000212,T0000212,M001,C002907,1,1,2025-03-08 17:21:00,North Gate,Full Scan
A0000213,T0000213,M001,C003044,2,2,2025-03-08 17:16:00,Premium Entrance,Full Scan
A0000214,T0000214,M001,C001673,2,2,2025-03-08 17:10:00,West Gate,Full Scan
A0000215,T0000215,M001,C001552,1,1,2025-03-08 16:43:00,North Gate,Full Scan
A0000216,T0000216,M001,C002480,1,1,2025-03-08 17:12:00,West Gate,Full Scan
A0000217,T0000217,M001,C001882,3,3,2025-03-08 17:14:00,East Gate,Full Scan
A0000218,T0000218,M001,C000900,1,1,2025-03-08 17:10:00,East Gate,Full Scan
A0000219,T0000219,M001,C001177,2,2,2025-03-08 17:23:00,North Gate,Full Scan
A0000220,T0000220,M001,C003146,20,13,2025-03-08 17:19:00,North Gate,Partial Scan
A0000221,T0000221,M001,C001468,2,1,2025-03-08 17:29:00,North Gate,Partial Scan
A0000222,T0000222,M001,C000489,2,2,2025-03-08 17:06:00,North Gate,Full Scan
A0000223,T0000223,M001,C001666,1,1,2025-03-08 17:31:00,East Gate,Full Scan
A0000224,T0000224,M001,C002901,3,3,2025-03-08 17:08:00,East Gate,Full Scan
A0000225,T0000225,M001,C001463,1,1,2025-03-08 17:57:00,North Gate,Full Scan
A0000226,T0000226,M001,C002910,1,1,2025-03-08 17:15:00,North Gate,Full Scan
A0000227,T0000227,M001,C000436,2,2,2025-03-08 17:32:00,West Gate,Full Scan
A0000228,T0000228,M001,C001553,16,15,2025-03-08 17:04:00,North Gate,Partial Scan
A0000229,T0000229,M001,C000772,2,2,2025-03-08 17:20:00,North Gate,Full Scan
A0000230,T0000230,M001,C000853,2,2,2025-03-08 17:41:00,Premium Entrance,Full Scan
A0000231,T0000231,M001,C001652,1,0,,Premium Entrance,No Show
A0000232,T0000232,M001,C002265,4,4,2025-03-08 17:09:00,Premium Entrance,Full Scan
A0000233,T0000233,M001,C000542,16,12,2025-03-08 17:20:00,North Gate,Partial Scan
A0000234,T0000234,M001,C002933,1,1,2025-03-08 17:24:00,East Gate,Full Scan
A0000235,T0000235,M001,C002005,1,1,2025-03-08 16:52:00,West Gate,Full Scan
A0000236,T0000236,M001,C000446,1,0,,West Gate,No Show
A0000237,T0000237,M001,C002379,1,1,2025-03-08 17:01:00,North Gate,Full Scan
A0000238,T0000238,M001,C001200,3,3,2025-03-08 17:23:00,North Gate,Full Scan
A0000239,T0000239,M001,C002547,2,2,2025-03-08 17:15:00,West Gate,Full Scan
A0000240,T0000240,M001,C002048,1,1,2025-03-08 17:27:00,East Gate,Full Scan
A0000241,T0000241,M001,C002201,2,1,2025-03-08 17:48:00,East Gate,Partial Scan
A0000242,T0000242,M001,C002041,1,1,2025-03-08 17:40:00,North Gate,Full Scan
A0000243,T0000243,M001,C001165,4,2,2025-03-08 17:09:00,East Gate,Partial Scan
A0000244,T0000244,M001,C001620,2,2,2025-03-08 16:57:00,East Gate,Full Scan
A0000245,T0000245,M001,C002417,2,2,2025-03-08 17:29:00,East Gate,Full Scan
A0000246,T0000246,M001,C002850,1,1,2025-03-08 17:06:00,Premium Entrance,Full Scan
A0000247,T0000247,M001,C000276,2,2,2025-03-08 17:24:00,West Gate,Full Scan
A0000248,T0000248,M001,C001241,1,1,2025-03-08 17:32:00,North Gate,Full Scan
A0000249,T0000249,M001,C001790,1,1,2025-03-08 16:59:00,East Gate,Full Scan
A0000250,T0000250,M001,C000505,1,1,2025-03-08 16:54:00,East Gate,Full Scan
A0000251,T0000251,M001,C001704,1,1,2025-03-08 17:47:00,Premium Entrance,Full Scan
A0000252,T0000252,M001,C001712,2,2,2025-03-08 17:17:00,Premium Entrance,Full Scan
A0000253,T0000253,M001,C001996,1,1,2025-03-08 17:00:00,Premium Entrance,Full Scan
A0000254,T0000254,M001,C000927,1,1,2025-03-08 17:23:00,North Gate,Full Scan
A0000255,T0000255,M001,C001801,1,0,,Premium Entrance,No Show
A0000256,T0000256,M001,C001498,3,3,2025-03-08 17:14:00,North Gate,Full Scan
A0000257,T0000257,M001,C000308,1,1,2025-03-08 17:45:00,Premium Entrance,Full Scan
A0000258,T0000258,M001,C001947,2,2,2025-03-08 17:25:00,East Gate,Full Scan
A0000259,T0000259,M001,C002991,1,1,2025-03-08 17:21:00,Premium Entrance,Full Scan
A0000260,T0000260,M001,C000359,2,2,2025-03-08 17:14:00,East Gate,Full Scan
A0000261,T0000261,M001,C002149,2,2,2025-03-08 17:36:00,Premium Entrance,Full Scan
A0000262,T0000262,M001,C000575,2,2,2025-03-08 17:17:00,Premium Entrance,Full Scan
A0000263,T0000263,M001,C000459,20,14,2025-03-08 17:19:00,West Gate,Partial Scan
A0000264,T0000264,M001,C000539,1,1,2025-03-08 17:37:00,East Gate,Full Scan
A0000265,T0000265,M001,C000454,1,1,2025-03-08 17:17:00,North Gate,Full Scan
A0000266,T0000266,M001,C000318,1,0,,East Gate,No Show
A0000267,T0000267,M001,C003132,2,2,2025-03-08 17:07:00,East Gate,Full Scan
A0000268,T0000268,M001,C000017,4,4,2025-03-08 17:10:00,North Gate,Full Scan
A0000269,T0000269,M001,C000820,3,3,2025-03-08 17:53:00,West Gate,Full Scan
A0000270,T0000270,M001,C001708,3,3,2025-03-08 17:19:00,North Gate,Full Scan
A0000271,T0000271,M001,C001239,2,2,2025-03-08 17:44:00,East Gate,Full Scan
A0000272,T0000272,M001,C002107,4,4,2025-03-08 17:50:00,West Gate,Full Scan
A0000273,T0000273,M001,C001676,4,4,2025-03-08 17:34:00,Premium Entrance,Full Scan
A0000274,T0000274,M001,C002882,1,1,2025-03-08 17:04:00,North Gate,Full Scan
A0000275,T0000275,M001,C000615,2,2,2025-03-08 17:11:00,East Gate,Full Scan
A0000276,T0000276,M001,C001163,2,2,2025-03-08 17:26:00,East Gate,Full Scan
A0000277,T0000277,M001,C001959,1,1,2025-03-08 17:11:00,West Gate,Full Scan
A0000278,T0000278,M001,C002542,2,2,2025-03-08 17:14:00,East Gate,Full Scan
A0000279,T0000279,M001,C001056,2,2,2025-03-08 17:21:00,West Gate,Full Scan
A0000280,T0000280,M001,C001804,1,1,2025-03-08 17:27:00,East Gate,Full Scan
A0000281,T0000281,M001,C000464,2,2,2025-03-08 17:25:00,North Gate,Full Scan
A0000282,T0000282,M001,C002504,1,1,2025-03-08 17:57:00,West Gate,Full Scan
A0000283,T0000283,M001,C002353,3,3,2025-03-08 16:54:00,North Gate,Full Scan
A0000284,T0000284,M001,C002728,1,1,2025-03-08 17:38:00,West Gate,Full Scan
A0000285,T0000285,M001,C000856,2,2,2025-03-08 17:30:00,East Gate,Full Scan
A0000286,T0000286,M001,C001060,1,1,2025-03-08 16:52:00,North Gate,Full Scan
A0000287,T0000287,M001,C001917,3,3,2025-03-08 17:52:00,Premium Entrance,Full Scan
A0000288,T0000288,M001,C000109,2,2,2025-03-08 17:05:00,North Gate,Full Scan
A0000289,T0000289,M001,C002784,2,2,2025-03-08 17:01:00,North Gate,Full Scan
A0000290,T0000290,M001,C001792,4,4,2025-03-08 17:22:00,North Gate,Full Scan
A0000291,T0000291,M001,C000366,1,1,2025-03-08 16:54:00,West Gate,Full Scan
A0000292,T0000292,M001,C002285,2,0,,Premium Entrance,No Show
A0000293,T0000293,M001,C001871,1,1,2025-03-08 17:19:00,East Gate,Full Scan
A0000294,T0000294,M001,C002085,12,10,2025-03-08 17:18:00,North Gate,Partial Scan
A0000295,T0000295,M001,C002087,2,2,2025-03-08 17:23:00,Premium Entrance,Full Scan
A0000296,T0000296,M001,C001392,10,6,2025-03-08 17:10:00,East Gate,Partial Scan
A0000297,T0000297,M001,C002957,2,1,2025-03-08 17:26:00,North Gate,Partial Scan
A0000298,T0000298,M001,C000730,20,19,2025-03-08 17:10:00,East Gate,Partial Scan
A0000299,T0000299,M001,C000021,3,3,2025-03-08 17:23:00,East Gate,Full Scan
A0000300,T0000300,M001,C002892,1,1,2025-03-08 17:08:00,North Gate,Full Scan
A0000301,T0000301,M001,C000287,2,2,2025-03-08 17:15:00,West Gate,Full Scan
A0000302,T0000302,M001,C000476,1,1,2025-03-08 17:03:00,West Gate,Full Scan
A0000303,T0000303,M001,C001740,1,1,2025-03-08 17:20:00,East Gate,Full Scan
A0000304,T0000304,M001,C002166,3,2,2025-03-08 16:53:00,Premium Entrance,Partial Scan
A0000305,T0000305,M001,C001234,2,1,2025-03-08 17:28:00,Premium Entrance,Partial Scan
A0000306,T0000306,M001,C001089,2,2,2025-03-08 17:55:00,Premium Entrance,Full Scan
